Month,Customer PO Number,Blue Stock PO number,BHVN PO Number,Sales Month,Inv. Number,Inv. Date,Item #,Qty,Unit price (US$),Total Value (US$),Ship Date,CHD,EHD,AHD,Delay/On Time,Delay/Ontime,BL Number,Customer,Brand,Status,ETA,Date of Booking Placed,Date of Booking Confirmation,Booking time,Reason of Delay,Year,Model Code,Item #/Iman Code ,Item Code,Size,Vessel Name
2020-10-01 00:00:00.000,68725,68725,BHVN-867,2021-01-28,BHVN762,2021-01-11 00:00:00,4071-M,864.0,8.65,7473.6,2021-01-18 00:00:00,NaT,NaT,2020-12-22 00:00:00,44187.0,delay,E210168195,HX,HX,Shipped,2021-02-23 00:00:00,2021-01-08 00:00:00,2021-01-09 00:00:00,1.0,,2021,,,,,
2020-10-01 00:00:00.000,68725,68725,BHVN-867,2021-01-28,BHVN762,2021-01-11 00:00:00,4071-L,2592.0,8.65,22420.8,2021-01-18 00:00:00,NaT,NaT,2020-12-22 00:00:00,44187.0,delay,E210168195,HX,HX,Shipped,2021-02-23 00:00:00,2021-01-08 00:00:00,2021-01-09 00:00:00,1.0,,2021,,,,,
2020-10-01 00:00:00.000,68725,68725,BHVN-867,2021-01-28,BHVN762,2021-01-11 00:00:00,4071-XL,180.0,8.65,1557.0,2021-01-18 00:00:00,NaT,NaT,2020-12-22 00:00:00,44187.0,delay,E210168195,HX,HX,Shipped,2021-02-23 00:00:00,2021-01-08 00:00:00,2021-01-09 00:00:00,1.0,,2021,,,,,
2020-10-01 00:00:00.000,68725,68725,BHVN-867,2021-01-28,BHVN762,2021-01-11 00:00:00,4071-XXL,1080.0,8.65,9342.0,2021-01-18 00:00:00,NaT,NaT,2020-12-22 00:00:00,44187.0,delay,E210168195,HX,HX,Shipped,2021-02-23 00:00:00,2021-01-08 00:00:00,2021-01-09 00:00:00,1.0,,2021,,,,,
2020-10-01 00:00:00.000,68726,68726,BHVN-868,2021-01-28,BHVN762,2021-01-11 00:00:00,4072-M,108.0,6.72,725.76,2021-01-18 00:00:00,NaT,NaT,2020-12-22 00:00:00,44187.0,delay,E210168195,HX,HX,Shipped,2021-02-23 00:00:00,2021-01-08 00:00:00,2021-01-09 00:00:00,1.0,,2021,,,,,
2020-10-01 00:00:00.000,68726,68726,BHVN-868,2021-01-28,BHVN762,2021-01-11 00:00:00,4072-L,108.0,6.72,725.76,2021-01-18 00:00:00,NaT,NaT,2020-12-22 00:00:00,44187.0,delay,E210168195,HX,HX,Shipped,2021-02-23 00:00:00,2021-01-08 00:00:00,2021-01-09 00:00:00,1.0,,2021,,,,,
2020-10-01 00:00:00.000,68726,68726,BHVN-868,2021-01-28,BHVN762,2021-01-11 00:00:00,4072-XL,2664.0,6.72,17902.079999999998,2021-01-18 00:00:00,NaT,NaT,2020-12-22 00:00:00,44187.0,delay,E210168195,HX,HX,Shipped,2021-02-23 00:00:00,2021-01-08 00:00:00,2021-01-09 00:00:00,1.0,,2021,,,,,
2020-10-01 00:00:00.000,68726,68726,BHVN-868,2021-01-28,BHVN762,2021-01-11 00:00:00,4072-XXL,576.0,6.72,3870.72,2021-01-18 00:00:00,NaT,NaT,2020-12-22 00:00:00,44187.0,delay,E210168195,HX,HX,Shipped,2021-02-23 00:00:00,2021-01-08 00:00:00,2021-01-09 00:00:00,1.0,,2021,,,,,
2020-10-01 00:00:00.000,MPO-155,MPO-155,BHVN-864,2021-01-28,BHVN763,2021-01-11 00:00:00,GL-01L,720.0,9.85,7092.0,2021-01-20 00:00:00,NaT,NaT,2020-12-15 00:00:00,44180.0,delay,EMSGN2101051 ,MD,MD,Shipped,2021-02-23 00:00:00,2020-12-26 00:00:00,2021-01-11 00:00:00,16.0,,2021,,,,,
2020-10-01 00:00:00.000,MPO-155,MPO-155,BHVN-864,2021-01-28,BHVN763,2021-01-11 00:00:00,GL-01XL,288.0,9.85,2836.7999999999997,2021-01-20 00:00:00,NaT,NaT,2020-12-15 00:00:00,44180.0,delay,EMSGN2101051 ,MD,MD,Shipped,2021-02-23 00:00:00,2020-12-26 00:00:00,2021-01-11 00:00:00,16.0,,2021,,,,,
